student_id,subject,exam_score,attendance_pct
149,Linear Algebra,78.6,90.1
149,Calculus,83.3,77.4
149,Python Programming,80.6,87.5
149,Data Structures,77.8,86.6
149,Statistics,75.1,75.7
150,Linear Algebra,65.3,77.2
150,Calculus,57.3,63.2
150,Python Programming,54.2,80.8
150,Data Structures,,81.6
150,Statistics,,69.1
151,Linear Algebra,44.3,79.6
151,Calculus,54.3,63.2
151,Python Programming,50.6,75.9
151,Data Structures,45.9,66.0
151,Statistics,61.3,66.4
152,Linear Algebra,93.2,100.0
152,Calculus,97.8,86.2
152,Python Programming,94.1,92.0
152,Data Structures,89.4,98.8
152,Statistics,90.3,85.3
153,Linear Algebra,64.0,64.2
153,Calculus,45.6,72.9
153,Python Programming,57.7,80.5
153,Data Structures,,58.4
153,Statistics,51.4,66.8
154,Linear Algebra,65.4,85.6
154,Calculus,63.3,75.6
154,Python Programming,56.8,65.6
154,Data Structures,59.5,76.3
154,Statistics,60.7,86.8
155,Linear Algebra,79.6,78.1
155,Calculus,87.8,85.8
155,Python Programming,86.7,82.8
155,Data Structures,80.7,96.5
155,Statistics,88.4,90.5
156,Linear Algebra,52.4,66.5
156,Calculus,50.5,74.9
156,Python Programming,61.1,76.3
156,Data Structures,70.0,78.9
156,Statistics,66.5,63.4
157,Linear Algebra,55.7,75.7
157,Calculus,62.3,74.8
157,Python Programming,,81.3
157,Data Structures,49.8,63.4
157,Statistics,53.6,82.0
158,Linear Algebra,46.5,71.0
158,Calculus,47.5,68.6
158,Python Programming,60.3,59.5
158,Data Structures,53.5,76.0
158,Statistics,42.0,56.9
159,Linear Algebra,77.8,90.1
159,Calculus,74.7,86.8
159,Python Programming,74.4,91.0
159,Data Structures,66.2,73.1
159,Statistics,68.8,86.3
160,Linear Algebra,94.4,100.0
160,Calculus,87.1,95.4
160,Python Programming,85.1,87.9
160,Data Structures,87.4,96.7
160,Statistics,82.9,89.8
161,Linear Algebra,75.6,80.7
161,Calculus,66.5,69.3
161,Python Programming,79.7,73.9
161,Data Structures,70.3,89.9
161,Statistics,71.1,89.0
162,Linear Algebra,68.8,82.8
162,Calculus,65.6,69.2
162,Python Programming,64.3,82.8
162,Data Structures,67.8,67.4
162,Statistics,70.1,72.6
163,Linear Algebra,84.1,
163,Calculus,82.9,90.2
163,Python Programming,92.3,94.6
163,Data Structures,83.4,100.0
163,Statistics,86.9,100.0
164,Linear Algebra,73.6,93.2
164,Calculus,87.2,87.7
164,Python Programming,81.4,74.3
164,Data Structures,83.3,92.3
164,Statistics,79.3,77.7
165,Linear Algebra,79.4,
165,Calculus,,72.8
165,Python Programming,65.6,86.8
165,Data Structures,81.0,91.1
165,Statistics,65.3,75.2
166,Linear Algebra,53.5,64.4
166,Calculus,49.8,65.4
166,Python Programming,55.8,73.5
166,Data Structures,47.9,70.2
166,Statistics,48.9,63.8
167,Linear Algebra,79.9,86.1
167,Calculus,79.0,80.6
167,Python Programming,93.2,97.3
167,Data Structures,79.4,84.6
167,Statistics,82.4,83.9
168,Linear Algebra,55.1,80.1
168,Calculus,56.6,71.8
168,Python Programming,,73.1
168,Data Structures,58.6,
168,Statistics,55.3,80.0
169,Linear Algebra,84.3,84.5
169,Calculus,73.2,88.6
169,Python Programming,78.2,85.9
169,Data Structures,85.0,77.3
169,Statistics,85.1,97.0
170,Linear Algebra,73.4,87.9
170,Calculus,54.8,78.4
170,Python Programming,60.3,88.5
170,Data Structures,73.4,85.2
170,Statistics,56.9,68.7
171,Linear Algebra,74.0,93.1
171,Calculus,85.4,79.7
171,Python Programming,86.8,87.8
171,Data Structures,74.0,78.8
171,Statistics,75.5,81.1
172,Linear Algebra,,95.3
172,Calculus,87.9,79.5
172,Python Programming,82.1,90.1
172,Data Structures,80.2,80.8
172,Statistics,86.3,83.3
173,Linear Algebra,57.1,70.8
173,Calculus,51.5,69.2
173,Python Programming,47.0,74.4
173,Data Structures,,73.1
173,Statistics,43.3,69.4
174,Linear Algebra,51.0,68.2
174,Calculus,52.1,74.3
174,Python Programming,64.2,71.2
174,Data Structures,49.2,71.4
174,Statistics,56.0,79.9
175,Linear Algebra,,70.4
175,Calculus,69.4,
175,Python Programming,58.9,80.6
175,Data Structures,63.6,72.2
175,Statistics,68.1,83.9
176,Linear Algebra,64.1,75.2
176,Calculus,54.5,75.1
176,Python Programming,,62.3
176,Data Structures,64.4,75.3
176,Statistics,55.9,70.6
177,Linear Algebra,93.6,84.2
177,Calculus,,100.0
177,Python Programming,81.1,82.3
177,Data Structures,80.0,99.2
177,Statistics,,100.0
178,Linear Algebra,61.3,85.0
178,Calculus,67.5,81.5
178,Python Programming,58.4,81.2
178,Data Structures,56.7,88.2
178,Statistics,68.0,75.7
179,Linear Algebra,85.4,89.0
179,Calculus,74.8,76.5
179,Python Programming,76.0,93.3
179,Data Structures,82.6,94.9
179,Statistics,77.7,76.1
180,Linear Algebra,73.1,90.7
180,Calculus,74.6,73.1
180,Python Programming,72.2,89.5
180,Data Structures,74.6,82.0
180,Statistics,,91.5
181,Linear Algebra,99.8,85.3
181,Calculus,85.5,97.0
181,Python Programming,91.6,100.0
181,Data Structures,87.8,88.8
181,Statistics,82.6,100.0
182,Linear Algebra,59.3,64.4
182,Calculus,45.4,59.0
182,Python Programming,52.6,65.5
182,Data Structures,48.6,75.5
182,Statistics,54.7,61.7
183,Linear Algebra,56.9,69.4
183,Calculus,47.5,74.9
183,Python Programming,,
183,Data Structures,61.0,80.3
183,Statistics,52.3,77.8
184,Linear Algebra,72.9,89.2
184,Calculus,86.0,91.9
184,Python Programming,,90.3
184,Data Structures,,100.0
184,Statistics,86.2,96.4
185,Linear Algebra,57.2,68.8
185,Calculus,71.6,71.7
185,Python Programming,63.4,78.8
185,Data Structures,69.0,85.6
185,Statistics,70.5,67.5
186,Linear Algebra,60.6,68.3
186,Calculus,68.2,86.9
186,Python Programming,,80.8
186,Data Structures,76.8,
186,Statistics,61.0,90.3
187,Linear Algebra,65.9,94.3
187,Calculus,76.9,90.1
187,Python Programming,66.7,75.9
187,Data Structures,73.0,93.5
187,Statistics,68.0,95.7
188,Linear Algebra,79.4,69.7
188,Calculus,66.7,86.9
188,Python Programming,75.4,69.1
188,Data Structures,69.7,76.9
188,Statistics,73.5,84.3
189,Linear Algebra,76.3,85.8
189,Calculus,74.6,83.9
189,Python Programming,62.5,68.8
189,Data Structures,65.8,71.9
189,Statistics,,78.5
190,Linear Algebra,71.9,89.7
190,Calculus,75.9,84.6
190,Python Programming,88.1,98.8
190,Data Structures,77.7,78.6
190,Statistics,71.3,85.7
191,Linear Algebra,78.6,86.1
191,Calculus,89.0,84.8
191,Python Programming,96.1,88.1
191,Data Structures,83.7,88.1
191,Statistics,96.6,83.4
192,Linear Algebra,51.4,67.4
192,Calculus,53.2,76.5
192,Python Programming,52.2,68.9
192,Data Structures,49.7,73.4
192,Statistics,61.0,73.1
193,Linear Algebra,92.6,91.5
193,Calculus,94.8,100.0
193,Python Programming,91.1,86.8
193,Data Structures,94.2,82.8
193,Statistics,86.4,93.2
194,Linear Algebra,60.5,80.3
194,Calculus,60.3,76.7
194,Python Programming,62.7,
194,Data Structures,69.3,77.6
194,Statistics,,71.7
195,Linear Algebra,57.8,72.5
195,Calculus,56.5,69.4
195,Python Programming,,68.3
195,Data Structures,55.9,83.1
195,Statistics,50.4,67.5
196,Linear Algebra,58.4,72.2
196,Calculus,55.1,68.0
196,Python Programming,65.7,76.3
196,Data Structures,68.4,66.6
196,Statistics,59.9,83.8
197,Linear Algebra,55.7,
197,Calculus,64.3,67.7
197,Python Programming,66.1,67.9
197,Data Structures,53.3,65.4
197,Statistics,58.5,74.0
198,Linear Algebra,81.0,90.9
198,Calculus,82.2,84.0
198,Python Programming,86.8,92.5
198,Data Structures,72.2,78.8
198,Statistics,74.1,92.2
199,Linear Algebra,70.8,83.2
199,Calculus,81.9,89.4
199,Python Programming,77.9,77.3
199,Data Structures,,82.6
199,Statistics,84.4,97.1
200,Linear Algebra,87.5,87.8
200,Calculus,75.4,78.6
200,Python Programming,79.3,90.8
200,Data Structures,88.6,96.2
200,Statistics,76.1,96.5
